exIdx	themeGiven	recipientGiven	themeDefinite	recipientDefinite	verbSense	themeAnimacy	recipientAnimacy	isDative	ableToTiebreak	verbLemma	themePronominal	recipientPronominal	themeLength	recipientLength	themeNumber	recipientNumber	structure	verbClass	recipientPerson	themePerson	previousStructure
38486	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	mail	FALSE	FALSE	2	14	Sing	Sing	PP	SEND	third	third	DO
38574	Given	Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	pull	FALSE	TRUE	2	2	Plur	Sing	PP	CARRY	third	third	PP
38796	Given	Not Given	Definite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	advance	TRUE	FALSE	1	3	Sing	Sing	PP	FUTURE HAVING	third	third	None
38978	Not Given	Not Given	Indefinite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	FALSE	5	2	NA	Sing	DO	MESSAGE TRANSFER	third	third	None
40361	Not Given	Not Given	Indefinite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	3	4	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
40928	Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	preach	FALSE	FALSE	2	4	Plur	Plur	PP	MESSAGE TRANSFER	third	third	None
41023	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	quote	FALSE	TRUE	7	1	Sing	Sing	DO	MESSAGE TRANSFER	first	third	None
41907	Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	roll	FALSE	FALSE	4	3	Sing	Sing	PP	SLIDE	third	third	None
42670	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	serve	FALSE	FALSE	1	3	Sing	Sing	PP	GIVE	third	third	None
43186	Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	trade	TRUE	FALSE	1	9	Sing	Plur	PP	GIVE	third	third	None
44444	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	offer	FALSE	FALSE	8	2	Sing	Plur	DO	FUTURE HAVING	third	third	None
45027	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	slide	FALSE	FALSE	5	2	Sing	Sing	DO	SLIDE	third	third	None
47404	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	pay	FALSE	FALSE	1	6	Sing	Plur	PP	GIVE	third	third	DO
47790	Not Given	Not Given	Definite	Definite	Transfer Posession	NotConcrete	Human	TRUE	TRUE	award	FALSE	FALSE	6	12	Sing	Sing	PP	FUTURE HAVING	third	third	None
48182	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	repay	FALSE	FALSE	2	4	Sing	Sing	PP	GIVE	third	third	None
48771	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	tell	FALSE	TRUE	3	1	NA	NA	DO	MESSAGE TRANSFER	second	third	None
48857	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	issue	FALSE	TRUE	3	1	Sing	Sing	DO	FUTURE HAVING	first	third	None
50159	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	quote	FALSE	TRUE	9	1	Sing	Sing	DO	MESSAGE TRANSFER	second	third	None
51409	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	signal	FALSE	FALSE	3	5	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
52079	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	shoot	FALSE	TRUE	2	1	Sing	Sing	DO	THROWING	third	third	None
52426	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	slide	FALSE	FALSE	2	2	Sing	Sing	PP	SLIDE	third	third	None
52523	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	bounce	FALSE	FALSE	2	3	Sing	Sing	PP	SLIDE	third	third	None
54267	Not Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	pose	FALSE	FALSE	6	2	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
55302	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	NotConcrete	TRUE	TRUE	hit	FALSE	FALSE	4	6	Plur	Sing	PP	THROWING	third	third	None
55970	Given	Not Given	Definite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	rent	TRUE	FALSE	1	2	Plur	Plur	PP	GIVE	third	third	None
56561	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	pose	FALSE	FALSE	2	5	Plur	Sing	PP	MESSAGE TRANSFER	third	third	None
56921	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	promise	FALSE	TRUE	4	1	Sing	Plur	DO	FUTURE HAVING	first	third	None
57494	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	drive	FALSE	FALSE	1	3	Sing	Sing	PP	?DRIVE	third	third	None
57555	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	offer	FALSE	TRUE	11	1	Sing	NA	DO	FUTURE HAVING	second	third	None
58365	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	grant	FALSE	TRUE	3	1	Plur	Sing	DO	FUTURE HAVING	third	third	None
59427	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	hand	FALSE	FALSE	3	2	Sing	Sing	DO	SEND	third	third	None
63156	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	quote	FALSE	TRUE	5	1	Sing	Sing	DO	MESSAGE TRANSFER	first	third	None
63553	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	hand	FALSE	FALSE	3	2	Plur	Plur	DO	SEND	third	third	None
63823	Given	Not Given	Definite	Definite	Communication	Concrete	Organization	TRUE	TRUE	fax	FALSE	FALSE	2	5	Plur	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
66995	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	tell	FALSE	TRUE	2	1	Sing	Sing	DO	MESSAGE TRANSFER	first	third	None
67142	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	pay	FALSE	FALSE	2	7	Sing	Sing	PP	GIVE	third	third	None
68107	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Concrete	TRUE	TRUE	tip	FALSE	FALSE	2	4	Sing	Sing	PP	THROWING	third	third	None
69741	Not Given	Not Given	Definite	Definite	Transfer Posession	NotConcrete	Human	TRUE	TRUE	award	FALSE	FALSE	3	3	Sing	Sing	PP	FUTURE HAVING	third	third	None
70219	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	pay	FALSE	FALSE	2	8	Sing	Sing	PP	GIVE	third	third	None
70882	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	cede	FALSE	FALSE	6	4	Sing	Sing	PP	FUTURE HAVING	third	third	None
73192	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	render	FALSE	FALSE	3	2	Sing	Sing	PP	GIVE	third	third	None
78216	Not Given	Given	Definite	Definite	Communication	NotConcrete	Animal	TRUE	TRUE	flip	FALSE	TRUE	2	1	Sing	Sing	DO	THROWING	third	third	None
78294	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	grant	FALSE	FALSE	6	2	Sing	Plur	DO	FUTURE HAVING	third	third	None
78655	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	NotConcrete	NotConcrete	TRUE	TRUE	allocate	FALSE	FALSE	2	25	Sing	Plur	PP	FUTURE HAVING	third	third	None
79338	Not Given	Given	Definite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	e-mail	FALSE	TRUE	2	2	Sing	NA	PP	COMMUNICATION INSTRUMENT	second	third	None
79885	Not Given	Given	Definite	Definite	Transfer Posession	NotConcrete	Organization	TRUE	TRUE	repay	FALSE	FALSE	2	3	Sing	Sing	PP	GIVE	third	third	None
81725	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	fly	TRUE	TRUE	1	2	Sing	Sing	PP	?DRIVE	first	third	None
81726	Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	fly	TRUE	TRUE	1	2	Sing	Sing	PP	?DRIVE	first	third	PP
82310	Not Given	Given	Definite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	e-mail	FALSE	TRUE	2	2	Plur	Plur	PP	COMMUNICATION INSTRUMENT	third	third	None
82535	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	serve	FALSE	FALSE	3	6	Plur	Plur	PP	GIVE	third	third	None
85370	Not Given	Not Given	Indefinite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	pose	FALSE	FALSE	1	12	Plur	Plur	PP	MESSAGE TRANSFER	third	third	None
86021	Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	2	6	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
86588	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	preach	FALSE	FALSE	1	5	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
88027	Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	kick	TRUE	TRUE	1	2	Sing	Sing	PP	THROWING	first	third	None
88448	Not Given	Given	Indefinite	UNK	Abstract	NotConcrete	Human	TRUE	TRUE	award	FALSE	FALSE	2	8	Sing	Sing	PP	FUTURE HAVING	third	third	None
89566	Not Given	Given	Indefinite	Definite	Abstract	Human	NotConcrete	TRUE	TRUE	drive	FALSE	FALSE	2	3	Plur	Sing	PP	?DRIVE	third	third	DO
92243	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	relay	FALSE	TRUE	1	2	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
92795	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	flip	FALSE	TRUE	2	1	Plur	NA	DO	THROWING	second	third	None
93109	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	fly	FALSE	FALSE	5	4	NA	Plur	PP	?DRIVE	third	third	None
93128	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	slip	FALSE	TRUE	3	1	Plur	Plur	DO	SEND	first	third	None
94916	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	sell	FALSE	TRUE	1	1	Plur	Sing	DO	GIVE	first	third	None
95078	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	give	FALSE	TRUE	2	1	Sing	NA	DO	GIVE	second	third	None
95366	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	e-mail	FALSE	TRUE	2	2	Plur	Plur	PP	COMMUNICATION INSTRUMENT	first	third	None
95550	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	smuggle	FALSE	FALSE	1	3	Plur	Plur	PP	SEND	third	third	None
95865	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	promise	FALSE	TRUE	1	1	Sing	NA	DO	FUTURE HAVING	second	third	None
98597	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Organization	TRUE	TRUE	grant	FALSE	FALSE	1	4	Plur	Plur	PP	FUTURE HAVING	third	third	None
99751	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	send	FALSE	FALSE	3	3	Sing	Plur	PP	SEND	third	third	None
101575	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	show	FALSE	FALSE	3	3	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
102714	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	teach	FALSE	TRUE	20	1	Plur	NA	DO	MESSAGE TRANSFER	second	third	None
106925	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	read	FALSE	FALSE	2	3	Plur	Sing	PP	MESSAGE TRANSFER	third	third	None
107491	Not Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	Organization	TRUE	TRUE	allocate	FALSE	FALSE	7	8	Plur	Plur	PP	FUTURE HAVING	third	third	None
108017	Not Given	Not Given	Definite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	pitch	FALSE	FALSE	2	4	Plur	Plur	PP	THROWING	third	third	DO
108072	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	NotConcrete	TRUE	TRUE	post	FALSE	FALSE	5	4	Plur	Sing	PP	SEND	third	third	None
109628	Not Given	Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	pose	FALSE	FALSE	5	9	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
110970	Given	Not Given	Definite	Indefinite	Communication	NotConcrete	Human	TRUE	TRUE	forward	FALSE	FALSE	2	2	Sing	Plur	PP	SEND	third	third	None
112678	Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	mail	TRUE	FALSE	1	10	Plur	Sing	PP	SEND	third	third	None
113462	Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	trade	TRUE	FALSE	1	3	Sing	Plur	PP	GIVE	third	third	None
116324	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	cede	FALSE	FALSE	3	2	Plur	Plur	PP	FUTURE HAVING	third	third	None
116708	Not Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	4	4	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
117023	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	slip	FALSE	FALSE	2	1	Plur	Sing	DO	SEND	third	third	None
117999	Not Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	trade	FALSE	FALSE	4	2	Sing	Sing	PP	GIVE	third	third	None
118203	Not Given	Not Given	Definite	UNK	Communication	NotConcrete	Human	TRUE	TRUE	advance	FALSE	FALSE	3	4	Sing	Sing	PP	FUTURE HAVING	third	third	None
118213	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	allocate	FALSE	FALSE	5	2	Sing	Sing	DO	FUTURE HAVING	third	third	None
118515	Given	Not Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	roll	FALSE	FALSE	3	7	Sing	Plur	PP	SLIDE	third	third	None
119757	Given	Not Given	Definite	Definite	Communication	Concrete	Organization	TRUE	TRUE	fax	FALSE	FALSE	2	5	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
120421	Given	Given	Definite	Definite	Communication	Concrete	Human	TRUE	TRUE	fax	FALSE	TRUE	2	2	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	DO
120663	Not Given	Given	Definite	Definite	Transfer Posession	NotConcrete	Organization	TRUE	TRUE	concede	FALSE	FALSE	2	3	Sing	Sing	PP	FUTURE HAVING	third	third	None
120708	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	serve	FALSE	TRUE	3	1	Sing	Plur	DO	GIVE	first	third	None
123415	Not Given	Given	Definite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	preach	FALSE	FALSE	5	2	Sing	Plur	PP	MESSAGE TRANSFER	third	third	None
124089	Not Given	Not Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	TRUE	3	1	Sing	NA	DO	MESSAGE TRANSFER	second	third	None
127590	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	give	FALSE	FALSE	11	1	Sing	Sing	DO	GIVE	third	third	None
129281	Not Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	Organization	TRUE	TRUE	assign	FALSE	FALSE	7	3	Plur	Sing	PP	FUTURE HAVING	third	third	None
129537	Not Given	Given	Indefinite	Definite	Abstract	Time	Human	TRUE	TRUE	guarantee	FALSE	TRUE	2	1	Sing	Sing	DO	FUTURE HAVING	third	third	None
129616	Not Given	Not Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	carry	FALSE	FALSE	8	9	Sing	Plur	PP	CARRY	third	third	None
131231	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	pose	FALSE	FALSE	6	3	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
132284	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Organization	TRUE	TRUE	sell	FALSE	FALSE	2	7	Sing	Sing	PP	GIVE	third	third	DO
133476	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Concrete	TRUE	TRUE	feed	FALSE	TRUE	5	1	Sing	Sing	DO	GIVE	third	third	None
136013	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	smuggle	FALSE	FALSE	3	4	Plur	Plur	PP	SEND	third	third	None
138210	Not Given	Given	Definite	Definite	Communication	Concrete	Organization	TRUE	TRUE	fax	FALSE	TRUE	3	2	Sing	Plur	PP	COMMUNICATION INSTRUMENT	first	third	None
139843	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	roll	FALSE	TRUE	3	1	Sing	Sing	DO	SLIDE	first	third	None
140291	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	yield	FALSE	FALSE	5	2	Sing	Sing	DO	FUTURE HAVING	third	third	None
140671	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	leave	FALSE	FALSE	7	2	Sing	Plur	DO	FUTURE HAVING	third	third	None
140710	Not Given	Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	mail	FALSE	FALSE	6	2	Plur	Plur	PP	SEND	third	third	None
140757	Given	Not Given	Definite	Indefinite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	post	FALSE	FALSE	6	2	Sing	Plur	PP	SEND	third	third	None
141481	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	promise	FALSE	FALSE	2	2	Sing	Plur	DO	FUTURE HAVING	third	third	None
143704	Given	Given	Indefinite	Definite	Transfer Posession	NotConcrete	Human	TRUE	TRUE	refund	FALSE	FALSE	14	2	NA	Sing	DO	GIVE	third	third	PP
144065	Not Given	Not Given	Definite	Definite	Communication	NotConcrete	NotConcrete	TRUE	TRUE	tip	FALSE	FALSE	2	26	Sing	Sing	PP	THROWING	third	third	None
145232	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	pose	FALSE	FALSE	3	14	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
146223	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	flip	FALSE	FALSE	2	5	Sing	Sing	PP	THROWING	third	third	None
147665	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	take	FALSE	FALSE	3	6	Sing	Sing	PP	BRING/TAKE	third	third	None
150369	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	flip	FALSE	TRUE	2	1	Sing	Sing	DO	THROWING	third	third	None
150881	Not Given	Not Given	Definite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	pose	FALSE	FALSE	4	14	Sing	Sing	PP	MESSAGE TRANSFER	third	third	None
151020	Not Given	Not Given	Definite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	bequeath	FALSE	FALSE	8	4	Sing	Sing	PP	FUTURE HAVING	third	third	None
151665	Not Given	Given	Indefinite	Definite	Abstract	Time	Human	TRUE	TRUE	allot	FALSE	TRUE	3	1	Sing	Sing	DO	FUTURE HAVING	second	third	None
153072	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Animal	TRUE	TRUE	slip	FALSE	FALSE	2	3	Sing	Sing	DO	SEND	third	third	None
155651	Not Given	Not Given	Definite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	serve	FALSE	FALSE	6	11	Plur	Plur	PP	GIVE	third	third	None
155881	Not Given	Not Given	Indefinite	Definite	Communication	Concrete	Organization	TRUE	TRUE	fax	FALSE	FALSE	5	2	Sing	Sing	DO	COMMUNICATION INSTRUMENT	third	third	None
156913	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	tell	FALSE	TRUE	2	1	Sing	Sing	DO	MESSAGE TRANSFER	first	third	None
157382	Given	Given	Definite	Definite	Communication	Concrete	Organization	TRUE	TRUE	fax	FALSE	FALSE	2	3	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
158641	Not Given	Not Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	e-mail	FALSE	FALSE	6	8	Plur	Plur	PP	COMMUNICATION INSTRUMENT	third	third	None
159339	Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	drive	FALSE	FALSE	1	5	Sing	Plur	PP	?DRIVE	third	third	None
159806	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	feed	FALSE	FALSE	3	1	Sing	Sing	DO	GIVE	third	third	None
160845	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	sell	FALSE	FALSE	2	2	Sing	Plur	DO	GIVE	third	third	None
162684	Not Given	Not Given	Indefinite	Definite	Transfer Posession	Concrete	Animal	TRUE	TRUE	haul	FALSE	FALSE	9	5	Plur	Plur	PP	CARRY	third	third	None
165128	Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	roll	FALSE	TRUE	2	1	Sing	NA	DO	SLIDE	second	third	None
165729	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	carry	FALSE	FALSE	1	9	Sing	Plur	PP	CARRY	third	third	None
165827	Given	Given	Definite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	mail	FALSE	FALSE	2	10	Sing	Sing	PP	SEND	third	third	None
